"email_hash","category"
"b9f6f22276c919da793da65c76345ebb0b072257d12402107d09c89bc369a6b6","Capris"
"c2b5fa9e09ef2464a2b9ed7e351a5e1499823083c057913c6995fdf4335c73e7","Capris"
"faaee0ff7d06b05313ecb75d46a9aed014b11023ca1af5ec21a0607848071d18","\"Gingham\" Shorts"
"5cd72da5035f2b36b604a16efc639cd04b6cfae7e487dcba60db88d3ef870f1e","Blouses"
"00449a86bb34e443a5f84635661f63514574a030a15e2e57b81b2c3f4fa49650","\"Gingham\" Shorts"
"b6161d458c4cc28331291235d05b3e458918d2ed21abfc4b86e4bac047b5553c","Blouses"
"e088d5dbbca4c61e870dd32e2584623da88870327f060bd0d27465136366f353","Capris"
"4727745894cc3d99632c89a64067f69327913989cddb9e2de5793d4de12ef4ef","Shirts"
"1ed6083eb9dc193dcd42466b57adce9f581cd70207426a37036a5dda3b3ad55a","Blouses"
"2c3d6ecd8ee8dec11e97c6ca5fb4390ab6b2a48c7f0983f49e80544320878246","\"Gingham\" Shorts"
"4a4bfb8d5cd78831438ec6b6a113e35af90c5c5a762fd12af8364b502a09bfc4","Capris"
"bf3d5f4e627c28d67aba0af8df51ab84209d0cdc99b00a5974e9f6f45e865c1a","Pants"
"8eed1ebcdb88ce0d8f397d8d1fba5de0e224a2294ce1b1ed1e5d04b771d30d4b","Shirts"
"20e17b8b2f9d71804192111f3bc7cc7117f36a5ebfdb0c309fb5886fbcb47cf3","Shirts"
"4fdd4c60b532053452217587f014b86e6c4dabd531552d75f3d6de7784f52eff","Cardigans"
"e8cee956c334047056a8820065cd5c1d2575a3285a2b09ff237752882932eafd","Blouses"
"8d0eb06f13e26fa3fb1c5f1d7945d544659ad312ebf35f55e0ceb74573468775","Shirts"
"b96c858a8206db09ab13066ee53f24892d2c72b8db7fc0f66db09057e6879d8c","Shirts"
"2d945909f4fc18d5f124d1b88e5ee661e1b7e9e9dbcd106a61a40053609b7a93","Capris"
"4a95e65a45fbb0174634d5568c8e4e25db629cc3c30bfb3a7c5da27826db531e","\"Gingham\" Shorts"
"fbbeb4a38beb0a28adc7d26eb8c83868ee1302cbc696fa34213ee4227854fcfd","Pants"
"c5d8f8c5a67e3062474f266ba5ad233ce192d789a4ddf666afc29f4ab1367b65","\"Gingham\" Shorts"
"f39abbf2ea544d4e2f11b1e746e53f723795b33c96ee32cd2fb5348bac94932f","Pants"
"c37266ad7483e9f65391fcd78fe992c04ced3075810bae323f21ae5c208363a6","Blouses"
"48bac4da7e7416ffaee70b5a07b71790e02ac782aa05257735d0398b298c9e62","Pants"
"3de048e2cf755e88edf8faa097a1461e70f4ea1c053d06d8ca3600993727d07e","Capris"
"7bd12e173944a4c9649700ab31fa95976480d9ba688b4d60c193882993f2ee92","Blouses"
"cae3fb08f049c397a0a6aba8e2f94dfaf24687bd8a05001a47367fbc5036e53b","\"Gingham\" Shorts"
"d2e616c475b513052dec9830e282c3432fe179f99fa6afc6eb943d08af931bc4","Capris"
"4ac05dacb62fcc8e8674f217e8c29390c2802970748ae5ec7a7b9e385de06c5d","Pants"
"38f304423ea50739aff8e67b486ec722aec07777c9a2e25a6cb9e9163dec78a7","Cardigans"
"afc009e0e9246fd84bc9d71521adccae01bbc7d52634207732396c2fe4953806","Cardigans"
"8eb68feddc77279ba2e6d6db85d2f387cc08c0e73add735a1fd427a4ef2d79c1","Pants"
"e730890bb71b41c306ce931ef07a1ea9a06997b7d13f5e99b2f6a3d5119d619c","\"Gingham\" Shorts"
"a5f7527d4ce53a6e6cc272cef5b2c7bc9237ee7220afc7ef2f236ab20a120481","Cardigans"
"93c7733f0d2d7e55193ee9b07874d3bd8a2eff0c7bbc372b0a5af7eebed001e8","Tanks"
"25e385c687261e615aa2eb1266563d6737268ea8204589d9bba5f6446387a92d","Capris"
"7784d669e0bbeff825ecbdb36a3862692bf47e3492a5a4e4fc69acd2aa0fc847","Pants"
"baae16f536e3bbe07f83cb407648641d78cf0321adc7c75176101911064f423c","Pants"
"ed74d2225168cc5e63055fff211c7971310de29140f7b57eac7c8b6b148d0832","Cardigans"
"f066747ca77b1283ea29ddefc3dcd49f455e5d7ccd7b6975020f2e3cbcbe5e22","Tanks"
"b5cb51bf78c16667a46d6ad55a0eb148c01084380de0a0dd2026c0b269335850","Blouses"
"aaa812346934dcd4da6a0b833f0fb688f7df5d23351466f10103c6d144b073e0","Shirts"
"3ad0d6f7b77714673418a27733c80b4b0374a4c11e30742035c908c93f37245b","Pants"
"654c368d2b4e126ee939092a08263d5d68150c2474de71ee7a3bdfe9619ce48c","Tanks"
"bf9d728e7bc31692f38b12a862efd83137ceef441717468f35121e2428d42f42","Blouses"
"beed2babda36af043bd416f336c97d025d1076015353fecb0db4577bf7b0bc88","Tanks"
"aea68a6f77c5ba41895caf866dd170b343d4b4401d1086c67f1aa710d06c8f7a","Tanks"
"71cb757c1d706dc3458c05dceca1277af281bd08a8f2ae4e7ae2090df5f8f604","Blouses"
"f68162a4c51463fef11daedd919ecb69d4a2168dc16e152761117cce05731ecf","Cardigans"
"e215789f08277db1bf007d4524f77938e5125b9024032566a4386f6aca27dcbd","\"Gingham\" Shorts"
"998ff6c00213603c24d053b151a2ef5d6d0991edf311de393e6b1f38b4c637ad","Shirts"
"cff2c4211cdcc3db25a5eea4c3ef9d8935d83a67dcb85f77dcd9fede75360df6","Shirts"
"d26b19d484a5b70fef79802a8f521a5fbfd23f7518773416c4e771e834e6de56","Blouses"
"8cb9f4b523312b6adfc079e7a33e126ae80cc5d6183c3df9cb0198b13e44250a","Shirts"
"59e5f1e1eab0f8a9112eda555674a0af70d54ab5eac07f24f1ea5ad93bf53c76","Shirts"
"f34c9bd2931ec0a4bbae002c2d55a49782eab991f75031d42baf0afde2e2f2db","Capris"
"c27fcf451eb6933ca02bef2650661f472dde04e6bfcacfc603a0dee609cb2667","Shirts"
"586988059447d03ca50591d37c14529cc8f119ef3714a0fd5997a7e46d915e3f","Shirts"
"8d033e6ed165c054a35301ec9a03e218eecb1e58615d943aa637c799157bc67c","Blouses"
"92727b45ee998dd902665945573c298f1d432f7441544407470f3afa2e312236","Capris"
"717a447d063b97dc2c678f0b7c5abf1de4d4a011e7a25c98035700da0c7e0d70","Tanks"
